,City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Tiksi,71.69,128.87,4.8,91,64,8.01,RU,1586705950
1,Albany,42.6,-73.97,55.99,32,75,13.87,US,1586705950
2,Qixingtai,30.41,111.89,57.99,57,0,6.78,CN,1586705950
3,Tamsweg,47.13,13.81,71.6,19,20,8.05,AT,1586705950
4,Busselton,-33.65,115.33,66.0,62,96,11.01,AU,1586705906
5,Pevek,69.7,170.31,4.91,88,10,11.5,RU,1586705951
6,Saint George,37.1,-113.58,61.0,58,1,6.93,US,1586705801
7,Fairbanks,64.84,-147.72,33.01,92,1,2.06,US,1586705951
8,Tsiroanomandidy,-18.77,46.03,71.8,58,92,3.13,MG,1586705951
9,Norton,-17.88,30.7,75.61,36,86,2.53,ZW,1586705951
10,Sopotnica,41.29,21.16,60.42,45,81,2.66,MK,1586705951
11,Kahului,20.89,-156.47,71.6,83,90,4.7,US,1586705952
12,Sorong,-0.88,131.25,76.86,89,65,0.51,ID,1586705952
13,Saint-Philippe,-21.36,55.77,77.0,83,100,5.82,RE,1586705952
14,Skibbereen,51.55,-9.27,46.4,93,75,12.75,IE,1586705952
15,Vaini,-21.2,-175.2,69.8,88,20,4.7,TO,1586705952
16,Sheridan,44.83,-106.92,19.99,79,90,9.17,US,1586705953
17,Qaanaaq,77.48,-69.36,20.23,80,100,3.65,GL,1586705953
18,Castro,-24.79,-50.01,72.46,38,45,2.73,BR,1586705953
19,Takoradze,4.88,-1.76,85.87,71,45,8.52,GH,1586705953
20,Port Lincoln,-34.73,135.87,57.96,66,19,6.15,AU,1586705827
21,Saint Paul Harbor,57.79,-152.41,39.2,86,90,9.17,US,1586705954
22,Huarmey,-10.07,-78.15,79.47,62,12,8.48,PE,1586705954
23,Avera,33.19,-82.53,73.4,83,90,9.17,US,1586705954
24,Atuona,-9.8,-139.03,81.66,69,7,3.71,PF,1586705954
25,Naze,28.37,129.48,62.6,59,90,33.33,JP,1586705746
26,Punta Arenas,-53.15,-70.92,48.2,76,40,17.22,CL,1586705746
27,Bluff,-46.6,168.33,46.99,90,100,10.0,NZ,1586705955
28,Ribeira Grande,38.52,-28.7,68.0,72,20,8.05,PT,1586705955
29,Barra de Tecoanapa,16.52,-98.75,85.39,43,63,1.63,MX,1586705955
30,Ushuaia,-54.8,-68.3,42.8,87,75,11.41,AR,1586705955
31,Manggar,-2.88,108.27,81.75,79,66,2.91,ID,1586705956
32,Rikitea,-23.12,-134.97,78.71,85,52,17.76,PF,1586705956
33,Hilo,19.73,-155.09,69.8,73,20,4.7,US,1586705956
34,George Town,5.41,100.34,86.0,83,20,10.29,MY,1586705841
35,Hithadhoo,-0.6,73.08,85.53,67,48,7.2,MV,1586705956
36,La Unión,-5.4,-80.75,78.51,63,54,9.35,PE,1586705956
37,Cap-aux-Meules,47.38,-61.86,39.2,60,20,12.75,CA,1586705956
38,Cherskiy,68.75,161.3,13.75,94,93,11.36,RU,1586705957
39,Tubualá,9.52,-79.03,89.6,62,40,5.82,PA,1586705957
40,Elko,41.0,-115.5,39.99,43,1,3.56,US,1586705957
41,Mataura,-46.19,168.86,46.99,90,100,10.0,NZ,1586705957
42,Katangli,51.71,143.23,26.08,98,94,6.02,RU,1586705957
43,Cape Town,-33.93,18.42,66.2,55,20,11.41,ZA,1586705786
44,Houma,29.6,-90.72,82.4,83,1,12.75,US,1586705957
45,Asău,46.43,26.4,64.4,25,84,20.8,RO,1586705958
46,College,64.86,-147.8,37.4,78,75,2.01,US,1586705761
47,Khatanga,71.97,102.5,9.81,93,100,21.27,RU,1586705958
48,New Norfolk,-42.78,147.06,48.0,68,70,3.98,AU,1586705958
49,Chui,-33.7,-53.46,69.26,57,58,4.43,UY,1586705958
50,Nouadhibou,20.93,-17.03,82.4,45,22,14.99,MR,1586705959
51,Río Gallegos,-51.62,-69.22,51.8,57,90,16.11,AR,1586705783
52,Nioro,13.35,-15.75,105.66,12,25,3.15,GM,1586705959
53,Yellowknife,62.46,-114.35,1.4,70,20,3.36,CA,1586705735
54,Rochegda,62.8,43.25,33.21,82,35,2.04,RU,1586705959
55,Mahébourg,-20.41,57.7,80.01,74,40,14.99,MU,1586705959
56,Bredasdorp,-34.53,20.04,68.0,45,3,18.34,ZA,1586705753
57,Necochea,-38.55,-58.74,66.0,70,100,4.0,AR,1586705960
58,Touros,-5.2,-35.46,87.8,62,40,12.75,BR,1586705960
59,Jamestown,42.1,-79.24,55.0,52,90,10.29,US,1586705960
60,Port Elizabeth,-33.92,25.57,66.2,63,20,31.09,ZA,1586705960
61,Thompson,55.74,-97.86,8.6,65,40,9.17,CA,1586705663
62,Muisne,0.6,-80.03,81.12,80,98,6.33,EC,1586705961
63,Yuancheng,36.65,107.79,49.41,22,38,8.39,CN,1586705961
64,Lavrentiya,65.58,-171.0,22.3,98,100,4.81,RU,1586705961
65,Sangīn,32.07,64.84,76.57,28,99,5.66,AF,1586705961
66,Constitución,-35.33,-72.42,59.02,48,0,9.93,CL,1586705961
67,Xai-Xai,-25.05,33.64,83.89,55,0,6.67,MZ,1586705961
68,Longyearbyen,78.22,15.64,1.4,59,20,4.7,SJ,1586705962
69,Khorinsk,52.17,109.77,35.85,62,18,5.66,RU,1586705962
70,Morón,-34.65,-58.62,75.99,60,56,8.05,AR,1586705962
71,Port Alfred,-33.59,26.89,66.0,79,98,8.01,ZA,1586705761
72,Troitsko-Pechorsk,62.71,56.2,28.47,95,100,6.76,RU,1586705962
73,Codrington,-38.27,141.97,53.49,74,98,5.08,AU,1586705963
74,Puerto Ayora,-0.74,-90.35,82.4,74,75,9.17,EC,1586705752
75,Magán,39.97,-3.93,69.01,45,1,6.93,ES,1586705963
76,Clyde River,70.47,-68.59,8.6,78,90,26.4,CA,1586705963
77,Mackay,-21.15,149.2,75.0,94,1,5.82,AU,1586705963
78,Nadym,65.53,72.52,27.05,98,100,10.4,RU,1586705963
79,Provideniya,64.38,-173.3,24.03,96,100,3.11,RU,1586705964
80,Altay,47.87,88.12,45.72,37,85,5.44,CN,1586705964
81,Geraldton,-28.77,114.6,75.2,83,90,10.29,AU,1586705807
82,Lebu,-37.62,-73.65,55.85,50,17,13.35,CL,1586705964
83,Nikolskoye,59.7,30.79,39.2,93,90,13.42,RU,1586705964
84,Hirara,24.8,125.28,64.31,58,94,27.94,JP,1586705965
85,Luena,-11.78,19.92,78.8,74,75,6.93,AO,1586705965
86,Nānpāra,27.87,81.5,84.0,76,97,5.99,IN,1586705965
87,Saskylakh,71.92,114.08,21.54,94,53,22.91,RU,1586705965
88,Calvinia,-31.47,19.78,65.5,36,43,12.01,ZA,1586705965
89,Beringovskiy,63.05,179.32,11.37,95,94,9.28,RU,1586705965
90,Langsa,4.47,97.97,78.21,84,100,2.59,ID,1586705961
91,Tasiilaq,65.61,-37.64,30.2,46,90,18.34,GL,1586705965
92,Saint Anthony,45.02,-93.22,33.01,87,90,10.29,US,1586705966
93,Maryborough,-25.53,152.7,64.9,85,1,5.86,AU,1586705966
94,Panipat,29.39,76.97,86.67,18,57,6.85,IN,1586705966
95,Isangel,-19.55,169.27,77.31,72,100,3.0,VU,1586705966
96,Pangnirtung,66.15,-65.71,27.3,91,100,6.38,CA,1586705966
97,Nānākuli,21.39,-158.15,73.4,93,75,6.93,US,1586705967
98,Hermanus,-34.42,19.23,64.99,70,30,5.99,ZA,1586705747
99,Lola,7.8,-8.53,91.83,36,28,3.13,GN,1586705967
